day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long,Cluster
Sunday,Night,perintis kemerdekaan,tamalanrea,TK,adult,LK,R2,-5.1257155,119.5040112,7
Sunday,Morning,cendrawasih,mariso,T,adult,LK,R2,-5.1552795,119.4122605,8
Tuesday,Night,inspeksi pam,manggala,TK,adult,LK,R2,-5.1501163,119.4756964,7
Monday,Morning,ade irma nasution,tallo,TK,adolescent,LK,R2,-5.1214728,119.4361603,5
Saturday,Night,kapasa raya,biringkanaya,TK,adolescent,LK,R2,-5.1127455,119.5090435,11
Thursday,Night,gunung latimojong,makassar,TL,NOV,NOV,R2,-5.1405404,119.4208275,10
Wednesday,Night,tamalanrea raya,tamalanrea,TK,adolescent,LK,R2,-5.1389844,119.5193272,11
Friday,Morning,sawerigading,ujung pandang,TL,NOV,NOV,R4,-5.1408703,119.4127661,9
Saturday,Morning,gunung latimojong,bontoala,TK,adult,LK,R2,-5.1405404,119.4208275,8
Saturday,Night,sultan abdullah,tallo,TK,child,LK,R2,-5.1037126,119.4396863,11
Saturday,Night,tamangapa raya,manggala,TM,adolescent,LK,R2,-5.1767373,119.4843844,0
Saturday,Night,pengayoman,panakukang,TK,adult,LK,R2,-5.1581728,119.44619225187714,7
Friday,Night,panampu,tallo,TL,NOV,NOV,R2,-5.118319,119.4248683,10
Sunday,Morning,kima raya 3,biringkanaya,TL,NOV,NOV,R2,-5.1128454,119.509013,4
Friday,Morning,andi tadde kalukuang,tallo,TL,NOV,NOV,R2,-5.1276054,119.4301568,4
Saturday,Morning,batara bira,biringkanaya,TK,adult,LK,R4,-5.0884975,119.5063692,3
Sunday,Night,mangerangi 3 makassar,tamalate,TK,adult,LK,R2,-5.1695646,119.4139864,7
Monday,Afternoon,lamadukelleng,ujung pandang,TM,adult,LK,R2,-5.1459823,119.4109236,7
Saturday,Night,urip sumoharjo,makassar,OC,child,LK,R2,-5.1357297,119.4365744,0
Wednesday,Morning,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R4,-5.0934582,119.5134093,9
Monday,Night,sultan alauddin,rappocini,TL,NOV,NOV,R2,-5.1847014,119.4408542,10
Sunday,Morning,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R2,-5.0934582,119.5134093,4
Wednesday,Morning,batua raya,panakukang,TK,adolescent,PR,R2,-5.1607593000000005,119.45961721209224,1
Tuesday,Morning,sungai saddang baru,rappocini,TM,adolescent,LK,R4,-5.1485252,119.4311909,6
Tuesday,Night,penghibur,ujung pandang,OC,adult,LK,R2,-5.1438068,119.4081433,7
Wednesday,Morning,gunung merapi,ujung pandang,TM,adult,LK,R2,-5.1442354,119.4176162,8
Wednesday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R4,-5.1257155,119.5040112,2
Sunday,Morning,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R4,-5.1257155,119.5040112,9
Tuesday,Night,hertasning,rappocini,OC,adult,LK,R2,-5.1635155,119.4381914,7
Saturday,Night,veteran selatan,makassar,T,adolescent,LK,R2,-5.1673416,119.4198624,0
Saturday,Night,borong raya,manggala,TL,NOV,NOV,R4,-5.1637473,119.4673699,2
Saturday,Morning,permandian barombong,tamalate,T,child,LK,R2,-5.2019757,119.3874662,1
Sunday,Night,goa ria,biringkanaya,TK,adult,LK,R3,-5.0818045,119.5243856,3
Monday,Night,kartini,ujung pandang,TL,NOV,NOV,R4,-5.1360991,119.4118141,2
Monday,Morning,sahabat raya,tamalanrea,TL,NOV,NOV,R4,-5.125134,119.4891111,9
