day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long
Monday,Morning,karunrung,ujung pandang,TK,adult,LK,R2,-5.1448851,119.4127054
Tuesday,Morning,ratulangi,mamajang,TK,adult,LK,R2,-5.1670755,119.4198124
Monday,Night,malengkeri,tamalate,TK,adolescent,LK,R2,-5.1875239,119.4339559
Tuesday,Morning,perintis kemerdekaan,tamalanrea,TK,adolescent,LK,R4,-5.1257155,119.5040112
Sunday,Morning,mappaodang,tamalate,TK,adult,LK,R2,-5.1732205,119.4158686
Wednesday,Morning,batua raya,panakukang,TK,adolescent,LK,R2,-5.160743650000001,119.4594276
Tuesday,Morning,racing center,panakukang,TK,child,LK,R2,-5.146478,119.4475021085729
Wednesday,Morning,galangan kapal,tallo,TK,adult,LK,R2,-5.112275,119.4309818
Wednesday,Morning,perintis kemerdekaan,tamalanrea,TM,adolescent,LK,R2,-5.1257155,119.5040112
Friday,Morning,andi tonro,tamalate,TM,adolescent,LK,R2,-5.1725621,119.4203633
Wednesday,Morning,dangko,tamalate,TL,NOV,NOV,R2,-5.1811574,119.4128553
Tuesday,Night,rajawali,mariso,TL,NOV,NOV,R4,-5.1538312,119.4108745
Tuesday,Night,talasalapang,rappocini,TK,adolescent,LK,R2,-5.1795109,119.4414857
Sunday,Night,gunung latimojong,bontoala,TK,adult,LK,R4,-5.1405404,119.4208275
Sunday,Night,andi tonro,tamalate,TK,adolescent,LK,R2,-5.1725621,119.4203633
Friday,Morning,perintis kemerdekaan,biringkanaya,TM,adolescent,LK,R2,-5.0876472,119.5188217
Saturday,Night,galangan kapal,tallo,T,adolescent,LK,R2,-5.112275,119.4309818
Saturday,Night,emmy saelan,ujung pandang,TK,adolescent,LK,R2,-5.1433667,119.4121606
Monday,Morning,sunu,bontoala,TK,adolescent,PR,R2,-5.13207,119.427103
Sunday,Night,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R2,-5.0876472,119.5188217
Monday,Morning,perintis kemerdekaan,tamalanrea,TK,adolescent,LK,R2,-5.1257155,119.5040112
Monday,Morning,paccerakkang,biringkanaya,TK,adult,PR,R4,-5.1130349,119.5128407
Tuesday,Morning,perintis kemerdekaan,tamalanrea,TM,adolescent,LK,R6,-5.1257155,119.5040112
Wednesday,Night,andi pangerang pettarani,rappocini,TK,adult,LK,R2,-5.1565899,119.4369069
Monday,Night,metro tanjung bunga,tamalate,TK,adult,PR,R2,-5.1661576,119.3917443
Friday,Morning,perintis kemerdekaan,tamalanrea,TK,adult,LK,R2,-5.1257155,119.5040112
Tuesday,Morning,pengayoman,panakukang,TL,NOV,NOV,R2,-5.1581728,119.44619225187714
Wednesday,Night,abu bakar lambogo,makassar,TL,NOV,NOV,R2,-5.1427283,119.4336437
Thursday,Afternoon,veteran utara,makassar,TL,NOV,NOV,R2,-5.1391986,119.4233018
Saturday,Afternoon,perintis kemerdekaan,tamalanrea,TK,adolescent,PR,R2,-5.1257155,119.5040112
Saturday,Afternoon,nipa-nipa,manggala,TK,adult,LK,R2,-5.1624763,119.5003181
Monday,Afternoon,metro tanjung bunga,tamalate,T,adult,LK,R2,-5.1661576,119.3917443
Sunday,Afternoon,tinumbu,bontoala,TL,NOV,NOV,R2,-5.1175498,119.4215302
Monday,Evening,teuku umar,tallo,TL,NOV,NOV,R2,-5.1137818,119.4383621
